info,source,game_num
"donny34 - 2 x 3, doubleyo7 - 6 x 3, RoB_the_SloB - 2 x 4, liar, donny34 accuses RoB_the_SloB ( 4 x d-2 ) .. there were 2, RoB_the_SloB - 5 x 2, donny34 - 2 x 3, doubleyo7 - 6 x 3, liar, RoB_the_SloB accuses doubleyo7 ( 3 x d-6 ) .. there were 4, RoB_the_SloB - 3 x 2, donny34 - 3 x 4, doubleyo7 - 3 x 5, liar, RoB_the_SloB accuses doubleyo7 ( 5 x d-3 ) .. there were 5, RoB_the_SloB - 3 x 2, donny34 - 5 x 2, doubleyo7 - 6 x 3, RoB_the_SloB - 5 x 4, liar, donny34 accuses RoB_the_SloB ( 4 x d-5 ) .. there was 1, RoB_the_SloB - 2 x 1, donny34 - 6 x 2, doubleyo7 - 3 x 3, liar, RoB_the_SloB accuses doubleyo7 ( 3 x d-3 ) .. there were 3, donny34 - 5 x 2, doubleyo7 - 2 x 4, donny34 - 4 x 5, liar, doubleyo7 accuses donny34 ( 5 x d-4 ) .. there was 1, donny34 - 4 x 1, doubleyo7 - 6 x 2, donny34 - 6 x 3, doubleyo7 - 6 x 4, liar, donny34 accuses doubleyo7 ( 4 x d-6 ) .. there were 3, doubleyo7 - 1 x 2, donny34 - 1 x 3, doubleyo7 - 5 x 3, liar, donny34 accuses doubleyo7 ( 3 x d-5 ) .. there was 1, doubleyo7 - 6 x 1, donny34 - 6 x 2, liar, doubleyo7 accuses donny34 ( 2 x d-6 ) .. there were 2, doubleyo7 - 6 x 2, liar, donny34 accuses doubleyo7 ( 2 x d-6 ) .. there was 1, doubleyo7 - 4 x 2, liar, donny34 accuses doubleyo7 ( 2 x d-4 ) .. there was 1",funnode-liars-dice-61491.txt,61491
[Site www.FunNode.com],funnode-liars-dice-61492.txt,61492
[P0 RoB_the_SloB],funnode-liars-dice-61492.txt,61492
[P0-Elo 0.0],funnode-liars-dice-61492.txt,61492
[P1 donny34],funnode-liars-dice-61492.txt,61492
[P1-Elo 0.0],funnode-liars-dice-61492.txt,61492
[P2 doubleyo7],funnode-liars-dice-61492.txt,61492
[P2-Elo 0.0],funnode-liars-dice-61492.txt,61492
[Timer Fischer],funnode-liars-dice-61492.txt,61492
[Timers -1 + 0],funnode-liars-dice-61492.txt,61492
[Re-roll false],funnode-liars-dice-61492.txt,61492
[Spot On false],funnode-liars-dice-61492.txt,61492
[Wild Ones false],funnode-liars-dice-61492.txt,61492
[First to play loser],funnode-liars-dice-61492.txt,61492
[Loser loses 1],funnode-liars-dice-61492.txt,61492
"[Result donny34 wins in 13 rounds. RoB_the_SloB, doubleyo7 lose]",funnode-liars-dice-61492.txt,61492
